,종목명,시가총액,Rank,규모
1500,삼성전자,4340032.0,1,대++
1501,LG에너지솔루션,1038960.0,2,대++
1502,SK하이닉스,956595.0,3,대++
1503,삼성바이오로직스,512453.0,4,대++
1504,삼성전자우,473160.0,5,대++
1505,POSCO홀딩스,399176.0,6,대++
1506,현대차,388372.0,7,대++
1507,LG화학,348373.0,8,대++
1508,기아,339325.0,9,대++
1509,NAVER,328877.0,10,대++
1510,삼성SDI,316661.0,11,대++
1511,셀트리온,248738.0,12,대++
0,에코프로비엠,245481.0,13,대++
1512,포스코퓨처엠,232777.0,14,대++
1513,KB금융,217492.0,15,대++
1514,삼성물산,216957.0,16,대++
1515,카카오,212469.0,17,대++
1516,현대모비스,211192.0,18,대++
1,에코프로,193849.0,19,대++
1517,신한지주,187128.0,20,대++
1518,LG전자,174449.0,21,대++
1519,SK이노베이션,141522.0,22,대++
1520,삼성생명,138400.0,23,대++
1521,LG,134335.0,24,대++
2,셀트리온헬스케어,123184.0,25,대++
1522,KT&G,121778.0,26,대++
1523,하나금융지주,121620.0,27,대++
1524,SK,119826.0,28,대++
1525,삼성화재,118200.0,29,대++
1526,한국전력,114013.0,30,대++
1527,카카오뱅크,113947.0,31,대++
1528,SK텔레콤,113793.0,32,대++
1529,메리츠금융지주,113479.0,33,대++
1530,삼성에스디에스,112585.0,34,대++
1531,HMM,109626.0,35,대++
1532,포스코인터내셔널,104146.0,36,대++
1533,고려아연,103811.0,37,대++
1534,삼성전기,103152.0,38,대++
1535,HD현대중공업,101823.0,39,대++
1536,크래프톤,98176.0,40,대+
1537,두산에너빌리티,94034.0,41,대+
1538,우리금융지주,93918.0,42,대+
1539,기업은행,92661.0,43,대+
3,포스코DX,85900.0,44,대+
1540,KT,85610.0,45,대+
1541,대한항공,82297.0,46,대+
1542,하이브,80555.0,47,대+
1543,아모레퍼시픽,79375.0,48,대+
1544,S-Oil,78020.0,49,대+
1545,HD한국조선해양,71410.0,50,대+
1546,TIGER CD금리투자KIS(합성),70833.0,51,대+
1547,SK바이오팜,68289.0,52,대+
1548,삼성중공업,67936.0,53,대+
